,Theme,Category,Valence_mean,Valence_SD,Arousal_mean,Arousal_SD,Contrast,Entropy,Sum_Entropy,Difference_Entropy
31,Baby 1,Person,6.17592592592593,0.993706398126079,4.08653846153846,1.76871725183901,31.987965646204675,10.592867444450377,8.102087856822505,3.1005345181017487
32,Baby 2,Person,6.02777777777778,1.05421568785088,3.66346153846154,1.83604988046482,147.82026358983623,10.75239505464101,7.999769390917171,3.5003826403175484
33,Baby 3,Person,5.84158415841584,1.16389581378512,4.11650485436893,1.74502638259615,139.73011536795383,10.246920341454972,7.5376958020064375,3.314044928212653
34,Baby 4,Person,5.92079207920792,1.23841163041076,4.27184466019417,1.85870593164676,101.85723120991344,10.816518037106448,7.8141242264452035,3.7792415418154452
35,Baby 5,Person,6.13888888888889,1.06304388681557,3.72115384615385,1.82993835520997,122.73149020095325,11.708809737625526,8.09931111466361,3.9564511802056543
36,Baby 6,Person,6.0462962962963,0.989517575833472,3.65384615384615,1.76684256126451,104.58948172284408,12.647496506085414,8.754175218305502,4.123130503347841
37,Baby 7,Person,2.97058823529412,1.30843328846192,4.24752475247525,1.66976609496096,29.475391283820766,11.137410160420142,8.151661110413695,3.32166763796643
38,Baby 8,Person,6.10185185185185,1.11857565317045,3.92307692307692,1.85227389874369,306.22712829229863,12.294583320329032,8.411581145557879,4.292545354900107
39,Baby 9,Person,5.85294117647059,1.22188831969721,3.64356435643564,1.70636548497584,120.54945919470514,10.640149051985594,7.938154635791091,3.454634208827536
40,Baby 10,Person,5.42156862745098,1.33821422688067,3.89108910891089,1.70235713115086,483.5158028500607,13.425326376576585,8.757763176249792,4.932450989028288
41,Band 1,Person,4.87128712871287,1.11052569836662,3.00970873786408,1.41764196391899,709.9340417394933,13.144410988769364,8.354501072906306,5.252135149531037
42,Band 2,Person,5.15686274509804,1.11466460825459,3.84158415841584,1.54746678973945,590.6822120588288,11.614649873756804,7.828893980560495,4.536347007656067
43,Bar 1,Scene,4.90196078431373,1.18162334989673,3.45544554455446,1.6032763484518,731.1985115148834,13.589849106356002,8.82598874383799,5.138790118633084
44,Bar 2,Scene,4.75247524752475,1.02377673927531,3.78640776699029,1.74136798510451,901.97747069766,13.87072034718952,8.607941287707071,5.503699194994625
45,Bar 3,Scene,4.49019607843137,1.30304364218925,3.25742574257426,1.61030099886037,772.1520454361093,13.116574497101855,8.559570219845948,5.088120077092357
46,Barbeque 1,Person,4.7156862745098,1.1550787635944,3.07920792079208,1.41903606942764,120.9183291627113,12.309033999430062,8.81418521780033,3.8361996985163334
47,Barbeque 2,Person,5.14851485148515,1.26796008307723,3.12621359223301,1.58225212816047,399.2650673119418,13.310700494370277,8.768960112453788,5.009516766544
48,Bark 1,Object,4.03703703703704,0.863874405958206,2.06730769230769,1.43644939202973,1585.6219182286868,14.566493164420226,8.464353037283985,6.297641027161566
49,Bark 2,Object,4.25925925925926,0.857843093623741,2.11538461538462,1.45687317989085,1292.9380020586277,13.766115704438082,8.228808858908714,6.07412868105219
50,Bark 3,Object,4.62745098039216,0.932595320718881,2.08910891089109,1.43595967841016,1268.1859405653404,14.326162469683432,8.351569425031522,6.1478225962328805
51,Bark 4,Object,4.23762376237624,0.736865182397501,2.24271844660194,1.50467258778151,1447.631478540413,14.617586945095855,8.715540261454738,6.098961625123171
52,Bark 5,Object,4.1980198019802,0.616762547179999,2.05825242718447,1.37787306053567,1191.6839013145332,14.58461028259179,8.665247664884781,6.095501017959266
53,Bark 6,Object,4.25742574257426,0.687800339437757,2.20388349514563,1.38166724592081,1018.8871795828491,13.917206108895364,8.55042069066468,5.773083600748529
54,Barrels 1,Object,4.20792079207921,0.571258814954628,2.46601941747573,1.49387989372445,726.9943072542319,13.055663212106797,8.238067825000382,5.442912131455371
55,BDSM 1,Person,4.33333333333333,1.48479643791538,4.55445544554455,1.71741228320257,620.1136556138587,13.20392102393571,8.758096685243796,4.970087059681281
56,BDSM 2,Person,3.93069306930693,1.57007914286239,4.30097087378641,1.89340937152084,502.6419588883275,13.47598470755332,8.891102717296295,4.913476835954188
57,BDSM 3,Person,3.9537037037037,1.63709486967695,4.22115384615385,1.72337854436265,917.1009593660996,13.397985225128984,8.541610293852369,5.403512357187387
58,Beach 1,Scene,6.36633663366337,0.845254663130914,4.7378640776699,1.69173982290505,314.6256110391206,11.371410325445376,8.179813161005942,3.854836370540312
