,Theme,Category,Valence_mean,Valence_SD,Arousal_mean,Arousal_SD,Contrast,Entropy,Sum_Entropy,Difference_Entropy,Cropped_Contrast,Cropped_Entropy,Cropped_Sum_Entropy,Cropped_Difference_Entropy,Sabattier_Contrast,Sabattier_Entropy,Sabattier_Sum_Entropy,Sabattier_Difference_Entropy,Blurred1_Contrast,Blurred1_Entropy,Blurred1_Sum_Entropy,Blurred1_Difference_Entropy,Blurred2_Contrast,Blurred2_Entropy,Blurred2_Sum_Entropy,Blurred2_Difference_Entropy,Pixelated_Contrast,Pixelated_Entropy,Pixelated_Sum_Entropy,Pixelated_Difference_Entropy,Sharpened_Contrast,Sharpened_Entropy,Sharpened_Sum_Entropy,Sharpened_Difference_Entropy
10,Alcohol 8,Object,5.47524752475248,1.1008547534161,3.79611650485437,1.76212451598148,234.18918959723942,11.128240717069742,8.413135924088682,3.3962808899574535,490.6653622816522,11.168497204279877,7.924234542388692,4.672522797485839,448.1844712005463,10.395084863706558,8.107893358812044,3.8565165059334574,15.363665712377127,10.284640609136488,8.352723387352842,2.58726674801337,5.083001843285569,9.884078228822894,8.359472279637592,2.2050446887921846,51.49393870259308,10.768158038354226,8.391588096429361,3.0270902633632684,585.1257753244581,11.67215647669677,8.423260661015423,3.93295188557759
11,Ambulance 1,Object,2.33333333333333,1.06779535299975,4.16346153846154,1.80673269939137,3019.990147884111,14.029447047538866,8.678558238955276,6.332734595583723,4642.957442146331,12.899888825625293,8.675069539330252,6.928860181197781,3365.013884124138,12.851631148901422,8.324302498203227,6.4267208289052284,21.3399270954189,10.972662452613335,8.514349258077536,3.1593196368391636,7.29727522023998,10.274546104667934,8.47656420786017,2.540421031626696,232.2747119301257,12.731792251553893,8.657963223274864,4.736809407373128,7752.117099916619,13.964509337645918,8.6923842744188,6.974003453521467
12,Ambulance 2,Object,3.17821782178218,1.07141065520145,3.41176470588235,1.72548137164401,517.027111464156,12.938905711426075,8.560313040757087,4.744432723900363,861.5884356248229,11.963526085860945,8.23208404467179,5.111622598262741,807.5474216553405,12.039179915412287,8.340436410496107,5.152330497286579,28.582023661985623,10.866808845285878,8.405607045887184,3.105118059082182,12.13471602164228,10.25872676546043,8.346983720390567,2.744270836716129,100.03529608088346,12.119240816727757,8.597240647393798,3.855620229771824,1450.149676470107,14.102698506361072,8.734570320354026,5.798025030682532
13,Ambulance 3,Object,3.28712871287129,1.09851384755374,3.61165048543689,1.78354686118803,683.8695176537279,13.395358619579643,8.479304571210651,5.160490111293426,1763.1413540105727,12.072315034646072,8.257213115765563,5.802465824510429,895.3717055602432,12.296502830288368,8.17964667382075,5.4868452981759335,21.023871915510217,11.021031420645649,8.385473785134089,3.1705039505068164,8.053209297668019,10.288361998765595,8.300397111573579,2.6408666538304777,79.50843750784772,12.212798997080156,8.477836822973178,3.9663789315589195,2129.28684055768,14.528972101828543,8.620180596766929,6.21636152748389
14,Angry face 1,Person,3.38235294117647,0.954863710632231,3.25742574257426,1.48090151830927,165.76992431165576,11.555972132258933,8.185735654333211,4.114149153899556,324.2848192238495,12.519971279362633,8.541023510600333,4.74800306541608,400.5019202590644,10.775195273247917,7.940798630729624,4.626814745883754,39.502745427571924,11.31053813030389,8.40105615408012,3.549484817186064,17.670999175669635,11.18071245100322,8.615002251569777,3.1316871753215842,82.36511676925271,11.394880082575273,8.20873391228651,3.881394968362867,322.2271570515716,11.883125332986937,8.174132799950938,4.50393832628304
15,Angry face 2,Person,3.07843137254902,1.04062314261533,3.53465346534653,1.68264289993833,89.56197711149107,11.707226025355434,8.169281736219155,3.884035068805357,175.11612552754104,12.320754372422872,8.552900749547717,4.44266360329984,210.1407259242796,11.008911784588982,8.334644088792444,4.235763814963343,10.155722060034856,9.558131757389642,8.09198923377719,2.3714266224276868,4.944251047207197,9.177686633067403,8.041961233728266,2.0684691800151294,25.91257158803821,10.549857683120035,8.272889529574156,3.0428617923154535,324.69006184737873,12.77239372021019,8.21828766112937,4.917404653304291
16,Angry face 3,Person,2.5,1.06007658979794,3.66336633663366,1.79040346136156,80.22423669582271,11.651081649640076,8.5358768134885,3.882050183102691,82.39517490796362,11.941619819746116,8.61796335554233,4.053594894254971,179.13791285578677,10.858924696297777,8.268520713069051,4.211973008628351,23.55872857494437,10.585654348833854,8.505603256129382,3.1156228025781383,11.415947176307501,10.198993032130566,8.50377141584572,2.7883476380585543,43.99673056388464,11.157399847816997,8.540481698810762,3.467152292814424,173.8258853295563,12.450150000833858,8.461826213550069,4.496383807113082
17,Angry face 4,Person,2.49019607843137,1.14100093316764,3.87128712871287,1.85829688874859,1697.7453243466873,14.61151140344282,8.881985695661193,6.224559991451374,,,,,2371.9793668778657,13.57995554342141,8.536969775151924,6.526516458992157,17.255235308335966,11.627729482031704,8.838899972736861,3.0819376405287517,8.00673767020256,11.073288135135435,8.798658518901611,2.6410872294023067,130.42755609213407,13.019534378316663,8.888203714509327,4.452736320641539,4518.764155962925,15.14890694956625,8.8965356043302,6.977026082071724
18,Angry face 5,Person,2.85294117647059,1.02828376504544,3.55445544554455,1.75769876557249,84.69064381959402,8.352323747754838,6.24167723061195,3.195308197689946,113.76882026386903,10.550856135282995,7.595218142548461,3.9608540995730657,203.6772699816927,7.913333179918537,6.167959659758519,3.4462250414062705,9.356107596144666,7.555603324477064,6.297340827431324,2.1574135213131775,5.884341121465988,7.509100872037559,6.39452757085622,2.0083079850094068,20.1028677517943,7.857741279154507,6.244768274860698,2.5339915363547316,243.12158007493676,8.752302868797532,6.2936510152841425,3.621168067410715
19,Angry pose 1,Person,2.81481481481481,1.04253598201557,3.61538461538462,1.79160768670543,293.1904588990009,11.898892683519431,8.258088598034904,4.277625583152045,285.48905973330096,9.071798677567479,6.732397937070427,3.9064286086154514,462.54826174529495,11.171431440041834,8.234573414081053,4.587895658949257,19.617543259451224,9.963018153211642,8.227521825680418,2.6915732716704777,9.19643932602046,9.829538030582388,8.311535069965682,2.4642749027102493,53.196410607555904,10.940746023981784,8.282710307837924,3.27803526879525,810.6251883711027,12.963366989610275,8.382323573742749,5.253990246401271
